position, name, price, sponsored, number of reviews, rating, asin, rankings, producer, url 
sponsor : 1,Curcu-Gel Ultra 650 mg BCM-95 Enhanced Absorption Curcumin Complex (500mg total Curcuminoids with Essential Oils of Turmeric Rhizome) 60...,£29.99,Yes,159,4.0 ,001MX615M Cu,,,https://www.amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09632402P8K81AKN7NC7&url=%2FCurcu-Gel-Absorption-Bio-Curcumin-Curcuminoids-Essential%2Fdp%2FB001MX615M%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dturmeric%26qid%3D1595601342%26sr%3D8-1-spons%26psc%3D1&qualifier=1595601342&id=3716701364709960&widgetName=sp_atf
sponsor : 2,D.O. Turmeric Capsules | 180 Organic Turmeric Curcumin 500mg | Organic Turmeric High Strength,£13.90,Yes,,,07SNF4Y6G Cu,,,https://www.amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0039447OFWGIT2ZM68V&url=%2FTurmeric-Capsules-Organic-Curcumin-Strength%2Fdp%2FB07SNF4Y6G%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dturmeric%26qid%3D1595601342%26sr%3D8-2-spons%26psc%3D1&qualifier=1595601342&id=3716701364709960&widgetName=sp_atf
